household_id,util_drivers_2,util_drivers_3,util_drivers_4_up,util_persons_16_17,util_persons_18_24,util_persons_25_34,util_presence_children_0_4,util_presence_children_5_17,util_num_workers_clip_3,util_hh_income_0_30k,util_hh_income_30_75k,util_hh_income_75k_up,util_density_0_10_no_workers,util_density_10_up_no_workers,util_density_0_10_workers,util_density_10_up_workers,util_asc,util_asc_san_francisco,util_asc_solano,util_asc_napa,util_asc_sonoma,util_asc_marin,util_retail_auto_no_workers,util_retail_auto_workers,util_retail_transit_no_workers,util_retail_transit_workers,util_retail_non_motor_no_workers,util_retail_non_motor_workers,util_auto_time_saving_per_worker
457267,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,9.885767488105776,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.93909740447998,0.0,6.903595924377441,0.0,6.343830585479736,0.42217332124710083
1606646,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,45.0,7.200000000000003,0.0,0.0,7.642695242762628,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.96196174621582,0.0,6.1457977294921875,0.0,6.19123649597168,0.3654633164405823
1061588,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,30.0,28.0,0.0,0.0,0.0,3.7728857968378926,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.54231071472168,0.0,5.2619948387146,0.0,5.835315227508545,0.5939232707023621
1908579,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,30.0,45.0,14.012,0.0,0.0,9.12866850840662,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.820926666259766,0.0,6.406538963317871,0.0,6.289114952087402,0.31981082757314044
2628704,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,30.0,45.0,50.0,0.0,0.0,6.652963402963403,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.972585678100586,0.0,5.358310222625732,0.0,5.760961055755615,0.4585599899291992
458278,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.2,0.0,0.0,0.0,0.0,2.7699671806967867,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.643692016601562,0.0,5.321049690246582,0.0,4.507081031799316,0.3728249967098236
418532,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,27.5,0.0,0.0,0.0,0.0,2.7699671806967867,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.643692016601562,0.0,5.321049690246582,0.0,4.507081031799316,0.33257248004277545
2428592,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,30.0,45.0,43.0,0.0,0.0,5.6370613756421655,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.779159545898438,0.0,5.821445465087891,0.0,6.148210525512695,0.38687664270401
1994016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,45.0,24.799999999999997,0.0,0.0,10.0,0.5950540958268942,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.923249244689941,0.0,6.5903167724609375,0.0,6.469101905822754,0.34810829162597656
1748480,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,30.0,45.0,24.5,0.0,0.0,10.0,0.5950540958268942,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.923249244689941,0.0,6.5903167724609375,0.0,6.469101905822754,0.3047712445259094
950601,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,30.0,18.799999999999997,0.0,0.0,0.0,6.019248934531911,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.595987319946289,0.0,5.643489837646484,0.0,6.167651176452637,0.5304433107376099
1605304,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,45.0,10.200000000000003,0.0,0.0,10.0,10.255519934271895,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.104696273803711,0.0,6.806375503540039,0.0,7.046288013458252,0.31865501403808594
2285349,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,45.0,50.0,0.0,0.0,10.0,10.255519934271895,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.104696273803711,0.0,6.806375503540039,0.0,7.046288013458252,0.24170665442943573
833670,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,30.0,13.0,0.0,0.0,0.0,10.0,20.666944507712515,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.064726829528809,0.0,7.223299980163574,0.0,6.882412910461426,0.2323566973209381
1600741,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,30.0,45.0,8.019999999999996,0.0,0.0,10.0,20.666944507712515,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.064726829528809,0.0,7.223299980163574,0.0,6.882412910461426,0.29862499237060547
580091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,10.0,2.5951611918761515,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.992045402526855,0.0,6.744595527648926,0.0,6.696709156036377,0.0,0.0
2237625,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,30.0,45.0,32.5,0.0,0.0,4.950098354628183,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.922224044799805,0.0,5.3248138427734375,0.0,5.156222343444824,0.45829665660858154
574691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,10.0,19.255297055063526,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.898809432983398,0.0,6.82343864440918,0.0,7.350593566894531,0.0,0.0
578088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,6.056449234399193,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.81942367553711,0.0,6.446416854858398,0.0,5.715890884399414,0.0,0.0
